Date,Direction
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-30,Incoming
2020-04-30,Outgoing
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-29,Outgoing
2020-04-29,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-28,Outgoing
2020-04-28,Outgoing
2020-04-28,Incoming
2020-04-27,Outgoing
2020-04-27,Incoming
2020-04-27,Outgoing
2020-04-27,Incoming
2020-04-27,Outgoing
2020-04-27,Outgoing
2020-04-27,Outgoing
2020-04-27,Outgoing
2020-04-27,Incoming
2020-04-27,Incoming
2020-04-27,Incoming
2020-04-27,Outgoing
2020-04-27,Outgoing
2020-04-27,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-26,Incoming
2020-04-26,Incoming
2020-04-26,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-25,Incoming
2020-04-25,Outgoing
2020-04-25,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Incoming
2020-04-24,Outgoing
2020-04-24,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Outgoing
2020-04-23,Outgoing
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
2020-04-23,Incoming
